npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1023849122,off-grid,N,N,NH,Nurse Practitioner
1891246518,T1,N,N,MA,Counselor - Mental Health
1477703676,T5,N,N,MA,Hospitalist
1578515938,T5,N,N,MA,Psychiatry & Neurology - Psychiatry
1053190132,off-grid,N,N,MA,Physician Assistant
1053854992,off-grid,Y,N,NH,Nurse Practitioner - Women's Health
1194848440,T3,N,N,VT,Advanced Practice Midwife
1982636981,T1,N,N,MA,Social Worker
1669528006,T1,N,N,MA,Social Worker - Clinical
1851851901,off-grid,Y,N,MA,Hospitalist
1215257407,off-grid,N,N,MA,Social Worker - Clinical
1760642888,T5,N,N,MA,Pediatrics - Neonatal-Perinatal Medicine
1477931491,off-grid,Y,N,TX,Emergency Medicine
1457703720,T5,N,N,RI,Internal Medicine - Infectious Disease
1295950657,off-grid,Y,N,NH,"Genetic Counselor, MS"
1124443288,off-grid,N,N,TX,Hospitalist
1013961564,off-grid,N,N,MA,Pathology - Anatomic Pathology & Clinical Pathology
1083160733,off-grid,N,N,MA,Optometrist
1285212381,off-grid,N,N,ME,Family Medicine
1508494485,off-grid,N,N,MA,Pediatrics
1114421757,off-grid,N,N,MA,Pediatrics
1114407004,off-grid,N,N,ME,Physician Assistant
1508020470,off-grid,Y,N,MA,Internal Medicine - Medical Oncology
1326667692,off-grid,N,N,NH,Physician Assistant
1942213160,off-grid,N,N,MA,Emergency Medicine
1891959011,off-grid,N,N,MA,Orthopaedic Surgery
1952547424,off-grid,N,N,RI,Family Medicine
1356363220,off-grid,N,N,ME,Physician Assistant - Surgical
1700021128,T1,N,N,OK,Counselor
1255962700,off-grid,N,N,MA,Nuclear Medicine
1730106162,T5,Y,N,MA,General Acute Care Hospital
1588944722,off-grid,N,N,ME,Counselor - Professional
1891242376,off-grid,Y,N,MA,Social Worker
1952563736,off-grid,N,N,CT,Family Medicine
1104338862,T1,N,N,MA,Behavior Technician
1962471300,off-grid,Y,N,MA,Radiology - Vascular & Interventional Radiology
1336889567,off-grid,Y,N,MA,Hospitalist
1679990808,off-grid,Y,N,NH,Otolaryngology
1225761091,off-grid,N,N,NY,Physician Assistant
1235681438,T3,N,N,MA,Nurse Practitioner - Family
1497814453,off-grid,N,N,MA,Counselor - Mental Health
1134148034,off-grid,N,N,CA,Radiology - Diagnostic Radiology
1619924651,off-grid,Y,N,RI,Internal Medicine - Gastroenterology
1558824052,off-grid,N,N,MA,Physician Assistant - Medical
1790147007,off-grid,Y,N,MA,Pediatrics - Pediatric Hematology-Oncology
1326931569,T1,N,N,MA,Counselor - Mental Health
1043776511,off-grid,Y,N,NH,Nurse Practitioner - Family
1932896255,off-grid,N,N,MA,Social Worker - Clinical
1528464773,T1,N,N,MA,Counselor
1982095162,T1,N,N,MA,Social Worker - Clinical
1023299864,off-grid,Y,N,MA,Physician Assistant - Medical
1467598961,T5,N,N,MA,Clinical Neuropsychologist
1225096456,off-grid,Y,N,MA,Pediatrics - Pediatric Hematology-Oncology
1922101294,off-grid,Y,N,MA,Internal Medicine - Cardiovascular Disease
1881184240,off-grid,Y,N,MA,Psychiatry & Neurology - Neurology
1457912065,off-grid,N,N,NH,Psychiatry & Neurology - Geriatric Psychiatry
1972724045,off-grid,N,N,MA,Emergency Medicine
1043705635,T5,N,N,RI,"Dietitian, Registered"
1215564695,off-grid,N,N,ME,Hospitalist
1629500848,off-grid,Y,N,NH,Obstetrics & Gynecology
1841784485,off-grid,N,N,RI,Psychologist
1467820183,T1,N,N,RI,Counselor - Mental Health
1538689781,T5,Y,N,MA,Emergency Medicine - Pediatric Emergency Medicine
1346951001,T5,Y,N,MA,"Dietitian, Registered"
1720959125,off-grid,N,N,MA,Nurse Practitioner - Family
