payer,file_description,location_url,number_of_reporting_plans,example_plan_names,plan_market_types,n_primary_tocs,n_employer_tocs,size_bytes,last_modified,content_type,content_encoding,head_method,head_status,head_error
Harvard Pilgrim Health Care,dental-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0379_in-network-rates.zip,8,Focus Network - MA HMO | HMO | HMO - Flex | Maines Choice Plus HMO | National Access EPO,group; individual,1,0,,,application/xml,,RANGE,404,
Harvard Pilgrim Health Care,dental-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0380_in-network-rates.zip,6,ElevateHealth HMO | ElevateHealth Options | HMO | HMO - LP | NH Local Choice HMO,group; individual,1,0,,,application/xml,,RANGE,404,
Harvard Pilgrim Health Care,dental-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0381_in-network-rates.zip,5,PPO Access | PPO Access - Flex | PPO Access - LP,group; individual,0,1,,,application/xml,,RANGE,404,
Tufts Health Plan,Direct NonSubsidized Group in-network-rates,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectNonSubsidizedGroup_in-network-rates.zip,27680,"B210 Direct Gold B210 Non Subsidized SG Darleen Pratt | DNU Direct Silver B370 HSA Non Subsidized SG Home Energy Efficiency Team, Inc. 001 | DO NOT USE | DO NOT USE Direct Bronze B400 Non Subsidized SG Christian Dumont Real Estate | DO NOT USE Direct Gold B200 Non Subsidized SG OZ WINE COMPANY",group,1,0,11654491,"Tue, 01 Sep 2026 13:30:23 GMT",application/octet-stream,,HEAD,200,
Tufts Health Plan,Direct NonSubsidized Individual in-network-rates,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectNonSubsidizedIndividual_in-network-rates.zip,32,Direct Bronze Q400 Non Subsidized | Direct Bronze Q400 Off Exchange | Direct Bronze Q400 SBSB Off-Exchange | Direct Bronze Q410 Non Subsidized | Direct Catastrophic Q500,individual,1,0,11650090,"Tue, 01 Sep 2026 13:30:23 GMT",application/octet-stream,,HEAD,200,
Tufts Health Plan,Direct Subsidized Individual in-network-rates,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectSubsidizedIndividual_in-network-rates.zip,39,Direct Bronze Q401 AI/AN Zero | Direct Bronze Q402 AI/AN Reduced Cost Share | Direct Bronze Q403 Subsidized | Direct Bronze Q411 AI/AN Zero | Direct Bronze Q412 AI/AN Reduced Cost Share,individual,1,0,11418100,"Tue, 01 Sep 2026 13:30:23 GMT",application/octet-stream,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,Blue Care Elect Fully Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_Blue-Care-Elect-Fully-Insured_in-network-rates.json.gz,131,"	Advantage Blue Preferred EPO $2,000 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | 	Advantage Blue Preferred EPO Saver $3,000 - Blue Cross and Blue Shield of Massachusetts, Inc | Advantage Blue Pref Ded with Coins 80 - Blue Cross and Blue Shield of Massachusetts, Inc | Advantage Blue Pref Saver with Coins 80 - Blue Cross and Blue Shield of Massachusetts, Inc | Advantage Blue Pref Saver with Coins 90 - Blue Cross and Blue Shield of Massachusetts, Inc",group; individual,1,0,128036791,"Wed, 05 Aug 2026 13:01:34 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,Blue Care Elect Self Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_Blue-Care-Elect-Self-Insured_Third-Party-in-network-rates.json.gz,689,"Advantage Blue $1500 Deductible 80 Coinsurance - MAPFRE U.S.A. Corp. | Advantage Blue $1500 Deductible 90 Coinsurance - Devoted Health, Inc. | Advantage Blue $2000 Deductible 90 Coinsurance - Duck Creek Technologies | Advantage Blue $500 Deductible 90 Coinsurance - Berkshire Group, LLC | Advantage Blue $750 Deductible 75 Coinsurance - Philips North America",group,1,0,127955078,"Mon, 24 Aug 2026 11:23:16 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,Blue Care Elect Self Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_Blue-Care-Elect-Self-Insured_in-network-rates.json.gz,18,"Blue Care Elect Preferred 100 with Copay  - DJT - Blue Cross and Blue Shield of Massachusetts, Inc | Blue Care Elect Preferred 100 with Copay  - DNH - Blue Cross and Blue Shield of Massachusetts, Inc | Blue Care Elect Preferred 100 with Copay  - DPN - Blue Cross and Blue Shield of Massachusetts, Inc | Blue Care Elect Preferred 100 with Copay  - DSF - Blue Cross and Blue Shield of Massachusetts, Inc | Blue Care Elect Preferred 100 with Copay  - DWI - Blue Cross and Blue Shield of Massachusetts, Inc",group,1,0,127955221,"Wed, 05 Aug 2026 13:02:37 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,Blue High Performance In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_Blue-High-Performance_Third-Party-in-network-rates.json.gz,10,"Advantage Blue Perf $1250 Deductible - Hebrew SeniorLife, Inc. | Advantage Blue Perf $3000 Deductible - Agero, Inc. | Advantage Blue Perf $3000 Deductible - Roman Catholic Archdiocese of Boston Health Benefit Trust | Advantage Blue Perf $6000 Deductible - Agero, Inc. | Advantage Blue Perf Ded with Coins 70 - Ocean Spray Cranberries, Inc.",group,1,0,85218695,"Mon, 24 Aug 2026 11:24:17 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,HMO Blue Fully Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_HMO-Blue-Fully-Insured_in-network-rates.json.gz,33,"HMO Blue Basic - Blue Cross and Blue Shield of Massachusetts, Inc | HMO Blue Basic Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | HMO Blue Basic II - Blue Cross and Blue Shield of Massachusetts, Inc | HMO Blue Copayment - Blue Cross and Blue Shield of Massachusetts, Inc | HMO Blue Deductible with Copayment - Blue Cross and Blue Shield of Massachusetts, Inc",group; individual,1,0,128061514,"Wed, 05 Aug 2026 13:04:34 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,HMO Blue Self Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_HMO-Blue-Self-Insured_Third-Party-in-network-rates.json.gz,112,"Blue Choice Plan 2 $20 Copay - Plymouth, Town of | Blue Choice Plan 2 $25 Copay w/o Rx  - XXS - Harvard University - HUGHP | Blue Choice Plan 2 $40 Copay w/o Rx  - XXS - Harvard University - HUGHP | Blue Choice Plan 2 w/o Copay - Mass Bay Health Care Trust | Network Blue $0 Deductible - Everett, City of",group,1,0,128047600,"Mon, 24 Aug 2026 11:25:47 GMT",application/json,,HEAD,200,
Blue Cross Blue Shield of Massachusetts,New England Managed Care Fully Insured In-Network Rates File,https://transparency-in-coverage.bluecrossma.com/2026-09-01_Blue-Cross-and-Blue-Shield-of-Massachusetts-Inc_New-England-Managed-Care-Fully-Insured_in-network-rates.json.gz,100,"Access Blue NE Basic $2000 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | Access Blue NE Basic Saver $2000 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | Access Blue NE Basic Saver $3000 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | Access Blue NE Basic Saver $3300 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc | Access Blue NE Basic Saver $3400 Deductible - Blue Cross and Blue Shield of Massachusetts, Inc",group; individual,1,0,132997799,"Wed, 05 Aug 2026 13:06:45 GMT",application/json,,HEAD,200,
